"Id товара","Дата добавления",Код,"Название товара","Краткое описание",Описание,Цена,"Каталог изображений",Категория,Подкатегория,Бренд,Активен,"Количество товаров",Сеокод,Просмотров
47,"1 нояб. 2016 г.",098632907,Fango,"Pour conserver la forme d'origine, utilisez des embauchoirs en cèdre ou en bois de hêtre. Cela absorbera l'humidité et atténuera les plis du cuir sur vos souliers.","La Fango est une desert boots très tendance, le bout de la chaussure arrondi lui donne un look ""vintage"" tout en nuances. Sa semelle crêpe et sa construction apportent, quant à elles, souplesse et légèreté. Le cuir grenu, renforce le caractère singulier de ces boots.",65.00,1477997674,"Мужская обувь",Ботинки,Zegna,1,124,fango,1
26,"10 авг. 2016 г.",162055M237002,"Rag &amp; Bone","Green Standard Issue Camo Sneakers","<p>Low-top textile sneakers featuring camouflage pattern in tones of green. Nubuck leather trim in black throughout. Round toe. Lace-up closure in black. Logo flag at tongue. Logo-embossed nubuck leather heel tab in black. Rubber sole in black. Tonal stitching. Upper: textile, leather. Sole: rubber. Imported.</p>",195.00,1470294036,"Мужская обувь",Кроссовки,Montana,1,18,rag-amp-bone,3
21,"16 июня 2016 г.",1234d,"Octavius Shoe","Dr. Martens Octavius Shoe in New Nova Black features.","<p>Dr. Martens Octavius Shoe in New Nova Black features a semi-formal look with a thinner sole, flat welt and a pointier shape than its predecessor.</p><p>Material 100% Leather.Fit This product fits true to size.</p>",203.12,1470901859,"Мужская обувь",Ботинки,"Guido Boretto",1,0,octavius-shoe,2
14,"28 мая 2016 г.",QER-563,"Пиджак Henley","Пиджак Henley приталенного силуэта выполнен из плотного мягкого хлопка.","Пиджак Henley приталенного силуэта выполнен из плотного мягкого хлопка. Детали: отложной воротник; контрастные светлые пуговицы; два внешних и два внутренних кармана; контрастная подкладка.",562.00,,"Мужская одежда",Пиджаки,Reebok,1,18,pidzhak-henley,3
16,"28 мая 2016 г.",TYU67,"Пиджак Orin","Пиджак oodji приталенного силуэта выполнен из плотного мягкого хлопка","Пиджак oodji приталенного силуэта выполнен из плотного мягкого хлопка. Детали: отложной воротник; контрастные светлые пуговицы; два внешних и два внутренних кармана; контрастная подкладка.",756.12,1471009014,"Мужская одежда",Пиджаки,Adidas,1,11,pidzhak-orin-16,0
6,"28 марта 2016 г.",NBGHT,"Кроссовки Reebok",,"Беговые кроссовки выполнены из сетчатого текстиля с полимерным покрытием. Детали: усиленный мыс, текстильная подкладка и стелька; технология Powerframe обеспечивает поддержку средней части стопы; система ускоренной шнуровки для надежной посадки по ноге; промежуточная подошва ZStrike гарантирует непревзойденную амортизацию.",854.78,,"Мужская обувь",Кроссовки,Calculus,1,0,krossovki-reebok,1
7,"12 мая 2016 г.",8EZsD,"Кроссовки Montana","Беговые кроссовки выполнены из сетчатого текстиля с полимерным покрытием","Беговые кроссовки выполнены из сетчатого текстиля с полимерным покрытием. Детали: усиленный мыс, текстильная подкладка и стелька; технология Powerframe обеспечивает поддержку средней части стопы; система ускоренной шнуровки для надежной посадки по ноге; промежуточная подошва ZStrike гарантирует непревзойденную амортизацию.",854.78,,"Мужская обувь",Кроссовки,Ergonauts,1,0,krossovki-montana,0
9,"28 мая 2016 г.",JKiUty09-0,"Брюки Zegna",,"Брюки зауженного кроя от Topman выполнены из тонкого хлопкового денима. Детали: застежка на пуговицы, шлевки под ремень, два боковых и два задних кармана..",895.00,,"Мужская одежда",Брюки,"Guido Boretto",1,0,bryuki-zegna,1
15,"28 мая 2016 г.",Mou-yu-r,"Пиджак Orin",,"Пиджак oodji приталенного силуэта выполнен из плотного мягкого хлопка. Детали: отложной воротник; контрастные светлые пуговицы; два внешних и два внутренних кармана; контрастная подкладка.",896.00,,"Мужская одежда",Пиджаки,Zegna,1,0,pidzhak-orin-15,0
12,"14 мая 2016 г.",LkioJ,"Брюки Orin","Брюки зауженного кроя от Topman","Брюки зауженного кроя от Topman выполнены из тонкого хлопкового денима. Детали: застежка на пуговицы, шлевки под ремень, два боковых и два задних кармана..",1398.00,,"Мужская одежда",Брюки,Otto,1,0,bryuki-orin-12,0
8,"28 мая 2016 г.",OIUj,"Кроссовки Ergonauts","Беговые кроссовки выполнены из сетчатого текстиля с полимерным покрытием","Беговые кроссовки выполнены из сетчатого текстиля с полимерным покрытием. Детали: усиленный мыс, текстильная подкладка и стелька; технология Powerframe обеспечивает поддержку средней части стопы; система ускоренной шнуровки для надежной посадки по ноге; промежуточная подошва ZStrike гарантирует непревзойденную амортизацию.",1632.00,,"Мужская обувь",Кроссовки,Gosha,1,89,krossovki-ergonauts,0
